rule_type,name
SPECIAL,Trợ giảng (12 tháng đầu)
SPECIAL,Trợ giảng (tháng 13-24)
SPECIAL,Đi thực tế / Trưng tập (dưới 10 tháng)
SPECIAL,Đi thực tế / Trưng tập (từ 10 tháng trở lên)
SPECIAL,Đi học / Bồi dưỡng (từ 6 đến dưới 10 tháng)
SPECIAL,Đi học / Bồi dưỡng (từ 10 tháng trở lên)
SPECIAL,Nam nuôi con nhỏ (vợ mất) dưới 12 tháng
SPECIAL,Nam nuôi con nhỏ (vợ mất) từ 12 đến 36 tháng
SPECIAL,Nữ nuôi con nhỏ dưới 12 tháng
SPECIAL,Nữ nuôi con nhỏ từ 12 đến dưới 36 tháng
SPECIAL,"Đang nghiên cứu luận án, đề án"
SPECIAL,Thành viên Tổ tư vấn/Nhóm nghiên cứu
SPECIAL,Công tác tại phòng không giữ chức danh (Giảm NCKH)
SPECIAL,Nghỉ có phép
SPECIAL,Đi học / Bồi dưỡng (dưới 6 tháng)
